name,countpar,projectpar
zone,1,
yes,3,
y,1,
x,4,
write,3,
wondering,1,
with,1,
winmonster,1,
window,1,
win,1,
whitish,1,
warn,1,
walls,1,
wa,1,
verify,1,
vector,1,
value,1,
valid,1,
val,1,
v,1,
urge,2,
updatefig,3,
update,59,
unset,1,
unduck,1,
u,2,
typed,5,
type,1,
turret,3,
turn,1,
toolbar,1,
to,2,
timer,1,
time,5,
tick,2,
text,7,
tetris,4,
test,4,
temp,1,
taphold,1,
tank,3,
take,4,
t,4,
syllable,1,
switchlevelinterface,1,
switch,3,
swap,1,
success,1,
strint,1,
str,3,
still,2,
status,1,
startgame,4,
start,19,
sprites,3,
speed,1,
specify,1,
special,1,
space,1,
socket,2,
slide,1,
size,3,
showjumplevel,1,
showinfo,1,
showgameintro,1,
showforecastlevel,1,
showconversationheroandfairy,1,
showbuyinterface,1,
show,20,
shot,4,
shoot,2,
setup,4,
setstatus,3,
setnumminesaround,1,
setdirection,2,
setdestroy,1,
setdead,1,
set,23,
server,1,
sentence,4,
sent,1,
sell,1,
selected,4,
section,4,
second,1,
search,2,
scroll,1,
screenshot,15,
screen,4,
score,12,
scan,1,
save,4,
runlevel,1,
run,34,
routine,1,
round,3,
rotated,1,
rotate,3,
roma,1,
right,1,
rgb,2,
result,2,
restart,2,
response,2,
reset,18,
repr,1,
reposition,1,
replay,1,
remove,2,
remaining,1,
remain,1,
release,2,
relative,2,
regret,3,
rect,1,
receive,5,
rearrange,1,
readable,1,
read,5,
re,1,
ratio,1,
rate,1,
rank,1,
random,7,
r,1,
quit,1,
pygame,1,
pull,8,
protected,1,
pross,1,
projectpath,1,
progress,1,
print,4,
prevent,1,
prev,1,
pretect,1,
pressed,1,
press,6,
position,9,
pos,5,
playonegame,1,
players,1,
playbgm,2,
play,2,
placenexttostairs,1,
place,1,
pixel,3,
pipe,1,
piece,8,
per,1,
pauseinterface,1,
pause,2,
path,2,
parse,3,
params,1,
panel,1,
paint,2,
pack,1,
override,1,
over,1,
os,1,
or,3,
operator,1,
openmine,1,
openeds,1,
opened,1,
open,1,
online,1,
one,1,
onclick,1,
on,3,
obstacles,2,
number,3,
not,1,
no,3,
next,7,
new,2,
neighbor,1,
move,35,
mouse,7,
more,2,
model,1,
missrate,1,
miss,1,
merge,2,
maze,1,
max,2,
matrix,1,
matched,1,
match,1,
map,1,
make,1,
main,7,
lyrincs,1,
lyrics,1,
log,4,
loadmap,1,
loadlevelmap,1,
load,7,
listen,1,
lines,1,
linear,1,
limit,1,
life,2,
level,11,
len,1,
left,1,
leave,1,
land,1,
l,2,
kick,1,
keytype,1,
key,7,
kana,1,
k,1,
jumpbot,1,
jump,10,
iterface,3,
iter,2,
isgameover,3,
is,10,
invert,1,
intro,1,
interface,32,
initialize,4,
init,170,
info,6,
improve,1,
image,6,
i,2,
hsv,2,
hr,1,
host,1,
home,4,
hira,1,
has,2,
hammering,1,
hammered,1,
halfway,2,
gs,4,
group,3,
grids,1,
grid,1,
go,3,
givein,3,
getheroposition,1,
getaround,1,
getallsupported,1,
getallmonsters,1,
get,37,
generate,4,
gems,2,
gem,2,
gate,1,
gaming,7,
game,20,
func,1,
full,4,
fruit,1,
frame,1,
forward,1,
for,2,
food,1,
fontload,1,
font,1,
flapped,2,
flags,1,
first,1,
find,10,
file,1,
figure,1,
fg,1,
fetchimages,1,
fall,1,
failureinterface,1,
failure,1,
fadeout,2,
faded,1,
extract,1,
external,1,
explode,3,
expected,2,
execute,1,
except,1,
exactly,1,
event,15,
evaluation,1,
error,3,
enter,1,
enemies,1,
end,17,
elems,1,
element,1,
elem,1,
elapsed,1,
effector,3,
eat,1,
e,1,
dump,1,
duck,1,
drop,2,
draw,74,
down,2,
do,2,
division,1,
direction,5,
dir,2,
die,1,
dictionary,1,
device,4,
detail,1,
density,1,
delaycallback,3,
defaultload,1,
decrease,2,
debug,3,
dealcollideevent,1,
dead,1,
data,16,
d,1,
current,5,
creenshot,1,
create,4,
count,2,
coords,5,
coordinate,1,
coord,4,
connector,2,
config,2,
condition,1,
computing,2,
completed,1,
color,4,
collision,1,
collide,1,
close,3,
clockwise,1,
client,2,
clicked,1,
clickcallback,1,
click,3,
chesspos,2,
check,8,
change,2,
center,2,
cell,1,
carried,1,
calculate,2,
calc,3,
by,4,
buy,1,
button,12,
burymine,1,
built,1,
build,1,
box,1,
boundary,1,
bot,1,
boom,4,
bomb,1,
board,9,
block,2,
blink,2,
blackish,1,
bg,1,
become,2,
be,1,
battle,1,
backup,2,
b,1,
average,1,
autoupdate,1,
automove,1,
assign,2,
arrows,1,
area,1,
arc,1,
apply,1,
anticlockwise,1,
and,6,
all,1,
ai,1,
addtext,2,
addition,1,
add,7,
adb,1,
action,2,
act,2,
accuracy,3,
accordant,1,
ac,1,
absolute,2,
able,1,
a,1,
